,id,name,lat,lng
98,56519d4d498e05915a09fd84,mr. kimbob (korean health food),14.62609667552044,121.0837446088519
99,5b128064cbcdee002cc4d4e5,saram korean grill,14.635916,121.059093
100,5dd15db3a1ca4b00085f7d0f,geonbae modern korean bar and grill,14.65188,121.07556
101,5dd14eca2c024700088d1f2d,geonbae modern korean bar and grill uptc,14.65223,121.07547
103,5cc509509b0473002c7c7bb6,romantic baboy,14.649328,121.075044
119,5e073bee429954000870b1f0,premier the samgyupsal,14.642158,121.10453
120,5cb1d7451cf2e1002c469f4d,samgyupsalamat,14.6463,121.112728
121,5abb9d4c9ef8ef40202409ec,gui gui korean unlimited grill restaurant,14.644854,121.120134
122,55f53dd7498e7cc71d037cf9,kimchee korean house,14.648896,121.117217
123,56b2f164498e420eee3702c5,kim chee korean cuisine,14.648990919756761,121.11715148474961
124,5c28af0561f070002c801fa9,angry pig korean barbecue house,14.633632,121.108944
125,54956e09498e6cfc151915a1,trick's resto,14.642877084618544,121.1218312760885
126,5c41f2412bf29b002d842e11,romantic baboy,14.648375,121.115524
132,5aafc646ee71203bcebef004,premier the samgyupsal,14.62947,121.03473
133,590acd6a5f68b92f1957f55c,the samgyupsal by sinsun,14.629562059705634,121.03449024290846
134,5d7c98d9cda09f0008c7d6fe,prime samgyupsal - unlimited by tcr,14.629383,121.033451
135,5c714ab3a5a315002c2582a8,muhan unlimited samgyupsal san juan,14.605984,121.04148
136,5b9671d79ba3e5002cc6a6e0,samgyupsalamat,14.623386134636304,121.05551426592896
137,5a8d9bf29be5226cccc12f00,samgyupsalamat,14.635067323180744,121.03078952882016
138,5162cd92e4b0cbf9e8c3e059,ogane korean restaurant,14.635233350271601,121.03546420316196
139,505c5e00e4b0c1f8b5f9550f,hwaroro korean grill restaurant,14.637512627257138,121.03161672771425
140,5ad027179b04732525113bab,hobing korean dessert cafe,14.619370674088982,121.0561864078045
141,5c87b73b178a2a002c7c2336,geonbae modern korean bar and grill,14.629984,121.035266
142,5d50255761835c0008b2c7a9,unlimited grill & sushi by korean j,14.629344,121.034035
